energy;distance;angle
-75.776261847;0.7000;100.0
-75.7771837999;0.7000;101.0
-75.778034029;0.7000;102.0
-75.7788139089;0.7000;103.0
-75.7795248078;0.7000;104.0
-75.7801680905;0.7000;105.0
-75.7807451208;0.7000;106.0
-75.7812572632;0.7000;107.0
-75.7817058854;0.7000;108.0
-75.7820923598;0.7000;109.0
-75.7824180656;0.7000;110.0
-75.7826843903;0.7000;111.0
-75.7828927311;0.7000;112.0
-75.7830444965;0.7000;113.0
-75.7831411075;0.7000;114.0
-75.783183999;0.7000;115.0
-75.7831746205;0.7000;116.0
-75.7831144373;0.7000;117.0
-75.7830049313;0.7000;118.0
-75.7828476017;0.7000;119.0
-75.7826439658;0.7000;120.0
-75.7823955591;0.7000;121.0
-75.7821039361;0.7000;122.0
-75.7817706702;0.7000;123.0
-75.7813973542;0.7000;124.0
-75.7809855998;0.7000;125.0
-75.7805370381;0.7000;126.0
-75.7800533188;0.7000;127.0
-75.77953611;0.7000;128.0
-75.7789870979;0.7000;129.0
-75.778407986;0.7000;130.0
-75.7778004944;0.7000;131.0
-75.7771663587;0.7000;132.0
-75.7765073296;0.7000;133.0
-75.7758251711;0.7000;134.0
-75.7751216596;0.7000;135.0
-75.7743985827;0.7000;136.0
-75.7736577374;0.7000;137.0
-75.7729009289;0.7000;138.0
-75.7721299687;0.7000;139.0
-75.7713466728;0.7000;140.0
-75.77055286;0.7000;141.0
-75.7697503498;0.7000;142.0
-75.7689409606;0.7000;143.0
-75.7681265072;0.7000;144.0
-75.7673087989;0.7000;145.0
-75.7664896369;0.7000;146.0
-75.7656708125;0.7000;147.0
-75.764854104;0.7000;148.0
-75.7640412749;0.7000;149.0
-75.7632340707;0.7000;150.0
-75.7624342169;0.7000;151.0
-75.7616434164;0.7000;152.0
-75.7608633462;0.7000;153.0
-75.7600956556;0.7000;154.0
-75.7593419631;0.7000;155.0
-75.7586038537;0.7000;156.0
-75.7578828765;0.7000;157.0
-75.7571805418;0.7000;158.0
-75.7564983185;0.7000;159.0
-75.7558376318;0.7000;160.0
-75.7070538081;0.7000;70.0
-75.7109812285;0.7000;71.0
-75.7147666922;0.7000;72.0
-75.7184149441;0.7000;73.0
-75.7219303888;0.7000;74.0
-75.7253171225;0.7000;75.0
-75.7285789611;0.7000;76.0
-75.7317194662;0.7000;77.0
-75.7347419692;0.7000;78.0
-75.7376495916;0.7000;79.0
-75.7404452653;0.7000;80.0
-75.7431317494;0.7000;81.0
-75.7457116469;0.7000;82.0
-75.7481874189;0.7000;83.0
-75.7505613981;0.7000;84.0
-75.7528358008;0.7000;85.0
-75.7550127383;0.7000;86.0
-75.7570942271;0.7000;87.0
-75.759082198;0.7000;88.0
-75.7609785046;0.7000;89.0
-75.7627849317;0.7000;90.0
-75.7645032018;0.7000;91.0
-75.7661349824;0.7000;92.0
-75.7676818915;0.7000;93.0
-75.7691455037;0.7000;94.0
-75.770527355;0.7000;95.0
-75.771828948;0.7000;96.0
-75.7730517558;0.7000;97.0
-75.7741972267;0.7000;98.0
-75.7752667874;0.7000;99.0
-75.8877978175;0.7500;100.0
-75.8885699604;0.7500;101.0
-75.8892734571;0.7500;102.0
-75.8899095453;0.7500;103.0
