energy;distance;angle
-395.859495911;0.6000;100.0
-395.860021047;0.6000;101.0
-395.860458418;0.6000;102.0
-395.860809591;0.6000;103.0
-395.861076165;0.6000;104.0
-395.861259776;0.6000;105.0
-395.861362088;0.6000;106.0
-395.861384791;0.6000;107.0
-395.8613296;0.6000;108.0
-395.861198249;0.6000;109.0
-395.86099249;0.6000;110.0
-395.860714093;0.6000;111.0
-395.860364842;0.6000;112.0
-395.859946533;0.6000;113.0
-395.859460977;0.6000;114.0
-395.858909996;0.6000;115.0
-395.858295424;0.6000;116.0
-395.857619109;0.6000;117.0
-395.856882911;0.6000;118.0
-395.856088704;0.6000;119.0
-395.85523838;0.6000;120.0
-395.854333844;0.6000;121.0
-395.853377024;0.6000;122.0
-395.852369863;0.6000;123.0
-395.851314329;0.6000;124.0
-395.850212413;0.6000;125.0
-395.849066128;0.6000;126.0
-395.847877517;0.6000;127.0
-395.846648647;0.6000;128.0
-395.845381615;0.6000;129.0
-395.844078548;0.6000;130.0
-395.842741604;0.6000;131.0
-395.841372973;0.6000;132.0
-395.839974875;0.6000;133.0
-395.838549565;0.6000;134.0
-395.83709933;0.6000;135.0
-395.835626491;0.6000;136.0
-395.834133402;0.6000;137.0
-395.83262245;0.6000;138.0
-395.831096056;0.6000;139.0
-395.829556672;0.6000;140.0
-395.828006783;0.6000;141.0
-395.826448904;0.6000;142.0
-395.824885582;0.6000;143.0
-395.823319389;0.6000;144.0
-395.821752926;0.6000;145.0
-395.820188821;0.6000;146.0
-395.818629722;0.6000;147.0
-395.817078298;0.6000;148.0
-395.815537239;0.6000;149.0
-395.814009245;0.6000;150.0
-395.812497031;0.6000;151.0
-395.811003318;0.6000;152.0
-395.80953083;0.6000;153.0
-395.80808229;0.6000;154.0
-395.806660414;0.6000;155.0
-395.805267906;0.6000;156.0
-395.803907452;0.6000;157.0
-395.802581712;0.6000;158.0
-395.801293316;0.6000;159.0
-395.800044857;0.6000;160.0
-395.797558281;0.6000;70.0
-395.801146624;0.6000;71.0
-395.804627576;0.6000;72.0
-395.808001485;0.6000;73.0
-395.811268569;0.6000;74.0
-395.814428954;0.6000;75.0
-395.817482706;0.6000;76.0
-395.82042986;0.6000;77.0
-395.823270442;0.6000;78.0
-395.82600449;0.6000;79.0
-395.828632068;0.6000;80.0
-395.831153285;0.6000;81.0
-395.833568299;0.6000;82.0
-395.835877333;0.6000;83.0
-395.838080675;0.6000;84.0
-395.840178689;0.6000;85.0
-395.842171814;0.6000;86.0
-395.844060569;0.6000;87.0
-395.845845554;0.6000;88.0
-395.847527451;0.6000;89.0
-395.84910702;0.6000;90.0
-395.850585103;0.6000;91.0
-395.851962616;0.6000;92.0
-395.853240554;0.6000;93.0
-395.854419982;0.6000;94.0
-395.855502037;0.6000;95.0
-395.85648792;0.6000;96.0
-395.857378897;0.6000;97.0
-395.858176292;0.6000;98.0
-395.858881486;0.6000;99.0
-396.538323484;0.6500;100.0
-396.53867619;0.6500;101.0
-396.538946192;0.6500;102.0
-396.539134856;0.6500;103.0
-396.539243581;0.6500;104.0
-396.539273796;0.6500;105.0
-396.539226957;0.6500;106.0
-396.539104546;0.6500;107.0
-396.53890807;0.6500;108.0
-396.538639056;0.6500;109.0
-396.538299054;0.6500;110.0
-396.537889632;0.6500;111.0
-396.537412379;0.6500;112.0
-396.536868899;0.6500;113.0
-396.53626082;0.6500;114.0
-396.535589783;0.6500;115.0
-396.534857452;0.6500;116.0
-396.53406551;0.6500;117.0
-396.533215661;0.6500;118.0
-396.532309632;0.6500;119.0
-396.531349172;0.6500;120.0
-396.530336055;0.6500;121.0
-396.529272083;0.6500;122.0
-396.528159086;0.6500;123.0
-396.526998921;0.6500;124.0
-396.525793479;0.6500;125.0
-396.524544682;0.6500;126.0
-396.523254486;0.6500;127.0
-396.521924884;0.6500;128.0
-396.520557904;0.6500;129.0
-396.519155612;0.6500;130.0
-396.517720113;0.6500;131.0
-396.516253553;0.6500;132.0
-396.514758115;0.6500;133.0
-396.513236026;0.6500;134.0
-396.511689555;0.6500;135.0
-396.51012101;0.6500;136.0
-396.508532743;0.6500;137.0
-396.506927146;0.6500;138.0
-396.505306656;0.6500;139.0
-396.503673748;0.6500;140.0
-396.502030939;0.6500;141.0
-396.500380784;0.6500;142.0
-396.498725879;0.6500;143.0
-396.497068855;0.6500;144.0
-396.495412377;0.6500;145.0
-396.493759146;0.6500;146.0
-396.492111892;0.6500;147.0
-396.490473371;0.6500;148.0
-396.488846366;0.6500;149.0
-396.48723368;0.6500;150.0
-396.485638131;0.6500;151.0
-396.484062552;0.6500;152.0
-396.48250978;0.6500;153.0
-396.480982656;0.6500;154.0
-396.479484015;0.6500;155.0
-396.478016683;0.6500;156.0
-396.476583465;0.6500;157.0
-396.475187145;0.6500;158.0
-396.47383047;0.6500;159.0
-396.472516149;0.6500;160.0
-396.484488226;0.6500;70.0
-396.487711076;0.6500;71.0
-396.490833034;0.6500;72.0
-396.493854375;0.6500;73.0
-396.496775287;0.6500;74.0
-396.499595899;0.6500;75.0
-396.502316306;0.6500;76.0
-396.504936586;0.6500;77.0
-396.507456823;0.6500;78.0
-396.509877115;0.6500;79.0
-396.512197593;0.6500;80.0
-396.514418421;0.6500;81.0
-396.516539815;0.6500;82.0
-396.518562039;0.6500;83.0
-396.520485417;0.6500;84.0
-396.522310333;0.6500;85.0
-396.524037232;0.6500;86.0
-396.525666625;0.6500;87.0
-396.52719909;0.6500;88.0
-396.528635266;0.6500;89.0
-396.529975862;0.6500;90.0
-396.531221645;0.6500;91.0
-396.532373448;0.6500;92.0
-396.533432165;0.6500;93.0
-396.534398746;0.6500;94.0
-396.5352742;0.6500;95.0
-396.536059589;0.6500;96.0
-396.536756027;0.6500;97.0
-396.537364675;0.6500;98.0
-396.537886744;0.6500;99.0
-397.063030181;0.7000;100.0
-397.063255772;0.7000;101.0
-397.063401963;0.7000;102.0
-397.063469979;0.7000;103.0
-397.063461074;0.7000;104.0
-397.06337653;0.7000;105.0
-397.063217657;0.7000;106.0
-397.06298579;0.7000;107.0
-397.062682291;0.7000;108.0
-397.062308545;0.7000;109.0
-397.061865959;0.7000;110.0
-397.061355968;0.7000;111.0
-397.060780026;0.7000;112.0
-397.060139614;0.7000;113.0
-397.059436236;0.7000;114.0
-397.058671421;0.7000;115.0
-397.057846724;0.7000;116.0
-397.056963725;0.7000;117.0
-397.056024034;0.7000;118.0
-397.05502929;0.7000;119.0
-397.053981159;0.7000;120.0
-397.052881343;0.7000;121.0
-397.051731572;0.7000;122.0
